Zeit;Winter;Sommer
00:00;416.849958;390.9045
00:15;376.222392;345.8511
00:30;338.377536;304.3313
00:45;305.541558;268.5536
01:00;277.714458;240.2848
01:15;257.122404;220.85
01:30;242.652312;208.9241
01:45;233.191098;201.4152
02:00;227.069136;196.1148
02:15;223.173342;191.2561
02:30;220.390632;186.8391
02:45;219.277548;181.9804
03:00;217.607922;178.0051
03:15;215.938296;174.4715
03:30;214.825212;171.8213
03:45;213.155586;170.0545
04:00;213.155586;170.4962
04:15;213.712128;172.7047
04:30;215.938296;176.68
04:45;218.721006;182.4221
05:00;222.6168;189.0476
05:15;227.625678;197.4399
05:30;239.869602;210.2492
05:45;265.470534;231.8925
06:00;310.550436;265.9034
06:15;378.44856;314.4904
06:30;460.816776;371.028
06:45;545.41116;427.1239
07:00;620.54433;475.7109
07:15;676.755072;510.1635
07:30;715.15647;532.6902
07:45;738.531234;547.708
08:00;750.218616;560.0756
08:15;753.557868;573.3266
08:30;750.218616;586.1359
08:45;740.757402;597.1784
09:00;727.400394;604.2456
09:15;710.704134;606.4541
09:30;693.451332;604.6873
09:45;676.19853;599.8286
10:00;662.28498;593.2031
10:15;652.823766;586.5776
10:30;646.701804;580.8355
10:45;643.919094;576.4185
11:00;643.919094;575.0934
11:15;646.145262;576.8602
11:30;651.15414;583.4857
11:45;660.615354;594.5282
12:00;676.19853;611.7545
12:15;697.903668;633.8395
12:30;721.278432;656.8079
12:45;740.20086;674.4759
13:00;750.218616;681.5431
13:15;746.879364;673.5925
13:30;732.965814;654.1577
13:45;712.37376;628.0974
14:00;690.11208;600.712
14:15;668.963484;575.9768
14:30;650.041056;554.7752
14:45;632.788254;536.2238
15:00;616.091994;519.8809
15:15;600.508818;505.3048
15:30;587.15181;492.9372
15:45;576.02097;483.2198
16:00;569.899008;475.7109
16:15;568.785924;470.8522
16:30;574.351344;469.0854
16:45;587.708352;470.8522
17:00;611.639658;475.7109
17:15;645.58872;484.1032
17:30;688.442454;496.0291
17:45;737.974692;511.9303
18:00;791.959266;530.9234
18:15;848.170008;553.0084
18:30;902.711124;578.1853
18:45;952.799904;605.5707
19:00;995.653638;633.8395
19:15;1027.933074;662.1083
19:30;1047.412044;688.1686
19:45;1051.307838;708.0451
20:00;1037.394288;718.2042
20:15;1005.671394;717.3208
20:30;961.148034;708.0451
20:45;912.172338;694.7941
21:00;865.979352;681.5431
21:15;828.691038;671.8257
21:30;798.081228;664.3168
21:45;770.254128;657.2496
22:00;741.313944;648.4156
22:15;707.921424;635.6063
22:30;670.63311;617.9383
22:45;630.562086;594.0865
23:00;588.264894;564.0509
23:15;545.41116;526.5064
23:30;502.000884;483.6615
23:45;459.14715;437.7247
00:00;416.849958;390.9045
